External Institution,COMP307,COMP330,COMP350,COMP370,COMP417,COMP424,COMP445,COMP520,COMP521,COMP525,COMP529,COMP533,COMP547,COMP549,COMP550,COMP551,COMP559,COMP579,ECSE343,ECSE421,ECSE424,ECSE425,ECSE507,ECSE526,ECSE532,ECSE551,ECSE552,ECSE554,MATH247,Total Distinct Courses
University of Wisconsin - Madison,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Université Pierre et Marie Curie (Pre 2018),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Université Grenoble Alpes (UGA),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of the Fraser Valley,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Southern Denmark,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Zhejiang University,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Zurich,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1
École Polytechnique,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
"University of St. Gallen/Graduate School of Business, Economics, Law and Social Sciences",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Nottingham Ningbo China,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Université du Québec à Montréal (UQAM),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Brooklyn College (CUNY),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
University of Western Ontario (UWO),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Virginia,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
Vermont Technical College,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Warsaw,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Université du Québec à Chicoutimi (UQAC),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
University of California - Santa Barbara,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Catholic University of Chile,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
The University of Adelaide,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Keio University,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Luigi Bocconi University,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Massachusetts Institute of Technology,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Huazhong University of Science and Technology,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Hanyang University,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Prague University of Economics and Business (VSE),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Shanghai Jiao Tong University,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Sophia University,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Southern University of Science and Technology (SUSTech),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Free University of Berlin,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Foothill College,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
The Hebrew University of Jerusalem,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
East China Normal University,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
De Anza College,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Michigan,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Columbia University,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
The University of Nottingham,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Chengdu University of Technology,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
University of Bologna,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Central China Normal University (CCNU),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of California - San Diego,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
John Cabot University,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
University of California - Santa Cruz,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of Geneva,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
University of International Business and Economics (UIBE),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
University of London - London School of Economics and Political Science,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
University of Maryland College Park,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
University of Miami,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Athabasca University,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
