External Institution,MATH223,MATH242,MATH243,MATH247,MATH264,MATH316,MATH319,MATH326,MATH378,MATH417,MATH427,MATH447,MATH463,MATH475,MATH478,Total Distinct Courses
Shanghai Univ Of Int Busin and,1,,,,,,,,,,,,,,,1
Shanghai Normal University,1,,,,,,,,,,,,,,,1
Shanghai Jiao Tong University,,,,,,1,,,,,,,,,,1
Seoul National University,1,,,,,,,,,,,,,,,1
San Francisco State University,1,,,,,,,,,,,,,,,1
The University of Auckland / Te Whare Wananga o Tamaki Makaurau,,,,,,,1,,,,,,,,,1
Nanjing University of Aeronautics and Astronautics,,1,,,,,,,,,,,,,,1
San Diego Miramar College,1,,,,,,,,,,,,,,,1
Nanchang University,,1,,,,,,,,,,,,,,1
University of Groningen,2,,,,,,,,,,,,,,,1
University of California - San Diego,,,,,,1,,,,,,,,,,1
Free University of Berlin,,,,,,1,,,,,,,,,,1
Free University of Brussels,,,,,,,,,,,,2,,,,1
Hanyang University,1,,,,,,,,,,,,,,,1
Huazhong University of Science and Technology,,,,,,,1,,,,,,,,,1
Humboldt University Berlin,,,,,1,,,,,,,,,,,1
Hunan University,,1,,,,,,,,,,,,,,1
Hunter College (CUNY),1,,,,,,,,,,,,,,,1
Institute of Business Administration (IBA),,1,,,,,,,,,,,,,,1
Jinan University,1,,,,,,,,,,,,,,,1
Universite de Sherbrooke,1,,,,,,,,,,,,,,,1
Univ of Calif at Oakland,,,,,,,,,,,,1,,,,1
Lahore College for Women University,,1,,,,,,,,,,,,,,1
Toronto Metropolitan University (Post 2022),,,,,,,,,,,,1,,,,1
American University of Beirut,,1,,,,,,,,,,,,,,1
